time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-05-22T04:51:19.153Z,36.4601,31.1573,74.002,4.1,mb,31,98,1.045,0.49,us,us6000kdtf,2023-06-19T03:49:27.040Z,"39 km SSW of Side, Turkey",earthquake,5.51,8.876,0.198,7,reviewed,us,us
2023-05-21T20:16:21.945Z,37.9176,36.2543,10,4.1,mb,38,37,0.345,0.68,us,us6000kdr0,2023-05-28T20:38:13.040Z,"16 km ESE of Saimbeyli, Turkey",earthquake,2.64,1.931,0.184,8,reviewed,us,us
2023-05-21T12:46:13.460Z,37.9246,36.2523,5.539,4.9,mwr,80,51,0.352,0.38,us,us6000kdm0,2023-06-06T09:20:04.770Z,"15 km ESE of Saimbeyli, Turkey",earthquake,5.06,4.523,0.053,34,reviewed,us,us
2023-05-21T04:36:05.239Z,34.9574,24.8545,10,4.5,mb,51,130,0.331,0.75,us,us6000kdk6,2023-06-17T01:43:42.703Z,"10 km S of Moíres, Greece",earthquake,3.66,1.848,0.079,47,reviewed,us,us
2023-05-20T00:48:12.754Z,34.9443,24.9064,10,4.8,mb,86,114,0.343,0.63,us,us6000kdby,2023-06-05T03:14:08.274Z,"12 km SSE of Moíres, Greece",earthquake,5.8,1.825,0.048,136,reviewed,us,us
2023-05-19T23:46:09.682Z,36.9758,22.0873,5.197,3.1,ml,14,177,0.24,0.55,us,us6000kdbp,2023-05-21T14:59:34.169Z,"7 km WSW of Paralía Vérgas, Greece",earthquake,5.59,11.791,0.081,20,reviewed,us,us
2023-05-19T08:23:37.141Z,38.3533,37.7687,10,4,mb,20,47,0.861,0.75,us,us6000kd3i,2023-06-07T05:45:10.040Z,"Central Turkey",earthquake,2.57,1.961,0.212,6,reviewed,us,us
2023-05-19T00:10:57.824Z,34.9234,24.736,10,4.1,mb,68,112,0.385,0.64,us,us6000kczv,2023-06-04T18:16:04.040Z,"Crete, Greece",earthquake,5.51,1.759,0.098,28,reviewed,us,us
2023-05-18T23:52:54.505Z,34.9442,24.8278,10,4.3,mb,94,120,0.347,0.71,us,us6000kczr,2023-06-04T21:16:18.040Z,"12 km SSW of Moíres, Greece",earthquake,2.51,1.853,0.083,41,reviewed,us,us
2023-05-18T23:20:55.824Z,35.0007,24.9164,13.406,4.2,mb,78,111,0.287,0.93,us,us6000kczm,2023-06-04T19:12:19.040Z,"",earthquake,5.47,3.956,0.085,38,reviewed,us,us
2023-05-18T18:58:51.137Z,34.9922,24.8491,10.789,5.1,mww,124,42,0.297,0.82,us,us6000kcxi,2023-06-30T14:09:34.040Z,"6 km SSW of Moíres, Greece",earthquake,7.09,3.432,0.08,15,reviewed,us,us
2023-05-18T05:42:34.728Z,38.0369,22.7148,10.49,4.2,mb,48,69,1.062,0.64,us,us6000kcr2,2023-06-04T05:57:31.075Z,"2 km NW of Káto Dhiminió, Greece",earthquake,5.81,5.067,0.132,16,reviewed,us,us
2023-05-17T19:55:53.713Z,34.924,24.9,10,4.4,mb,115,63,0.363,0.76,us,us6000kclg,2023-05-24T13:36:37.163Z,"14 km S of Moíres, Greece",earthquake,5.44,1.221,0.056,94,reviewed,us,us
2023-05-14T12:06:08.766Z,37.9018,36.1797,7.024,4.1,mb,57,34,0.347,0.53,us,us6000kbui,2023-05-29T05:26:23.040Z,"Central Turkey",earthquake,3.86,5.058,0.109,23,reviewed,us,us
2023-05-13T21:15:39.415Z,44.2013,39.0127,10.254,3.1,ml,10,178,2.528,0.17,us,us6000kbs9,2023-05-29T13:24:35.040Z,"3 km NNE of Nebug, Russia",earthquake,8.67,7.859,0.128,8,reviewed,us,us
2023-05-13T17:03:54.676Z,40.5052,22.2885,10,2.6,ml,12,66,0.43,0.22,us,us6000kbsk,2023-06-03T22:03:26.297Z,"3 km NW of Vergína, Greece",earthquake,4.35,2.004,0.077,22,reviewed,us,us
2023-05-13T14:18:01.474Z,34.3139,45.5703,10,4.5,mb,47,185,3.363,0.93,us,us6000kbpi,2023-05-26T13:47:08.303Z,"31 km WSW of Sarpol-e Z̄ahāb, Iran",earthquake,7.46,1.86,0.094,33,reviewed,us,us
2023-05-12T08:36:25.640Z,37.8832,36.231,4.268,4.2,mb,22,85,0.316,0.75,us,us6000kcj7,2023-05-24T10:39:06.040Z,"16 km SE of Saimbeyli, Turkey",earthquake,1.61,5.069,0.2,8,reviewed,us,us
2023-05-12T08:33:21.858Z,37.8784,36.2491,2.866,4.5,mwr,57,54,0.307,0.78,us,us6000kbcq,2023-05-24T10:24:13.040Z,"18 km SE of Saimbeyli, Turkey",earthquake,2.86,5.154,0.071,19,reviewed,us,us
2023-05-10T22:42:24.626Z,35.058,22.4107,44.221,4.2,mb,22,215,2.044,0.35,us,us6000kazy,2023-06-08T05:11:31.242Z,"117 km W of Palaióchora, Greece",earthquake,9.12,13.106,0.236,5,reviewed,us,us
2023-05-09T23:14:51.146Z,39.1821,32.9989,10.106,4.1,mb,63,36,0.703,0.5,us,us6000karb,2023-06-08T02:35:51.040Z,"11 km NW of Kulu, Turkey",earthquake,3.67,3.872,0.123,18,reviewed,us,us
